Address bit 1,Address bit 2,Bit 0,Bit 1,Bit 2,Bit 3
2.577919251659170630e-02,6.573386543459533091e-03,3.240395708873436975e-01,2.648412741478467503e-01,2.662580581560325954e-01,1.976297396828484709e-01
4.909969473025826980e-02,4.404839916999645638e-02,2.967699398788440912e-01,2.548162028697536496e-01,2.871196906612165645e-01,2.068471843224566065e-01
7.142764466682122171e-02,1.120562194636256365e-02,3.095377229533028962e-01,2.735245657770694061e-01,2.598872331770783473e-01,1.906010869948078501e-01
6.271474176148368607e-02,3.024859618083322946e-02,3.028618523974105359e-01,3.005399976136696183e-01,2.916684565927109007e-01,1.734783810930578818e-01
2.217821180615099294e-02,3.305025093567021816e-02,2.882155804647259512e-01,2.660536785915602609e-01,3.060994557695271290e-01,1.895098642944041956e-01
3.437977302860487777e-02,1.116113996835765426e-01,3.150515404537927444e-01,2.672825454667979717e-01,2.610106135567220043e-01,1.950707112243005303e-01
3.741944440393785154e-02,3.665510862114188667e-02,3.145621211130599226e-01,2.779618472780104321e-01,2.893686979877631571e-01,2.022177016470032007e-01
6.812756565316598067e-02,4.844024686518946105e-02,3.044071669681547299e-01,2.859300760599780555e-01,2.753175974849438323e-01,1.810438116615102899e-01
1.591600495988731642e-02,4.000831045531156802e-03,3.062704868863271868e-01,2.721127700529215043e-01,2.653214932587826258e-01,2.061786357734439468e-01
2.788584776479760205e-02,2.481365753454085540e-02,2.997426914410197818e-01,3.051771579501648124e-01,2.704009362213266598e-01,1.848771223188778734e-01
4.549941618460671272e-02,5.098906034926801306e-02,3.226546532245065380e-01,2.795446149810174585e-01,2.814534361576691013e-01,1.968744960909626085e-01
6.979963656714928411e-02,1.338947822096968505e-02,3.039145901856916687e-01,2.596215882791745866e-01,2.804346857927227377e-01,2.012534395820175515e-01
1.849207050921164441e-02,6.111549803986004309e-02,3.101798228879333319e-01,2.731455077598237691e-01,2.831281338857589702e-01,1.758252356159024088e-01
5.276782077333375641e-03,6.042308380622944675e-02,3.039049547747429414e-01,2.604291723794923685e-01,2.657897857090809612e-01,2.032604133564911431e-01
9.269309497135870546e-03,8.461598899917740016e-03,3.177152187099520075e-01,2.801900578889646165e-01,2.901679570229747096e-01,1.795920096740740157e-01
4.826116420313619759e-02,2.321193912619656449e-02,3.190159199032355786e-01,2.626037181064963533e-01,2.735395212034523738e-01,2.072943874329297442e-01
1.932341352899259387e-02,4.513531796620184888e-02,2.811939581071238869e-01,3.265767539494178195e-01,2.356335049263346415e-01,2.123318141158175298e-01
7.982860568192567952e-02,6.840426009544529895e-02,2.680488073589155085e-01,3.177988966639274104e-01,2.099557902249863106e-01,2.223939587941312912e-01
7.313711025442487523e-02,3.148581436934504759e-03,2.647482259414667416e-01,3.263228705203219948e-01,2.225126311635110266e-01,2.336115558683010962e-01
9.243457401129723250e-02,3.559858219248313721e-02,2.675604127339643035e-01,3.373319583067225236e-01,2.387104378763916790e-01,2.146445780892709265e-01
1.955556053959604107e-02,6.727029026345701657e-02,2.632769115845729480e-01,3.058784360779735478e-01,2.594904248232026145e-01,2.384720862050971613e-01
3.598506831107543130e-02,1.020152692074897671e-01,2.733696676512370471e-01,3.165837827147884864e-01,2.464676885222158997e-01,2.160003103351306186e-01
5.245207250832181062e-02,3.611606003504639478e-02,2.991670459265960980e-01,3.225626919984775354e-01,2.530979408399234853e-01,2.020887328795523963e-01
4.269884282960478145e-02,6.722171496802845092e-02,2.969891394571481658e-01,3.204022369635036172e-01,2.475623975705245061e-01,2.060649331067717915e-01
2.407525554822079975e-03,1.368053611692257761e-02,2.770718212582817253e-01,3.056854670687476627e-01,2.453545602868345277e-01,2.189936511742696934e-01
2.987044388287500574e-02,1.130059793785604012e-02,2.831565188237510911e-01,3.164072039480800846e-01,2.673251546578841453e-01,1.988659875111178643e-01
5.650413107605317675e-02,5.024611336232925191e-02,2.766391249662071283e-01,3.256378281209501568e-01,2.462271916679537320e-01,2.273760034997089063e-01
5.641893025888439911e-02,1.788411372949399395e-03,2.629146933278815323e-01,3.407725689875487074e-01,2.355082075377083195e-01,2.198702159864366623e-01
3.831768853779336098e-02,4.825215806661617424e-02,2.614508542891189058e-01,3.251428404636723113e-01,2.596191859724869544e-01,2.257263046849534993e-01
9.206830662468355395e-03,6.207122696471818746e-02,2.733927395348413891e-01,3.281995705793733231e-01,2.623592806824146528e-01,2.108656488224733283e-01
9.087088026216197725e-03,9.871281062440532758e-03,2.915505161664858624e-01,3.315911696977748568e-01,2.484138092154010158e-01,2.097817696728974390e-01
3.742842646318120248e-02,4.039418777930751242e-02,3.011436972731575956e-01,2.980845692478062969e-01,2.450128190533312211e-01,2.107772826983538295e-01
1.701937759123318614e-02,4.108371111897610867e-02,2.665558346837351156e-01,2.318345842801793899e-01,3.014212236943653034e-01,2.232484398486992150e-01
4.721474176537843181e-02,5.102790854979500496e-02,2.857307062948550858e-01,2.311662634039052533e-01,3.288685841879019911e-01,2.078456989605629301e-01
6.722009474067286439e-02,1.233633596141974799e-02,2.715012184849345811e-01,2.437234053896131791e-01,3.190395938274533938e-01,2.315288007171948936e-01
1.062404481879828944e-01,2.584663470482771036e-02,2.718299403001521175e-01,2.568759096491223803e-01,2.984643326273055397e-01,2.349189380429014540e-01
1.293907907577982993e-03,6.880568879583598418e-02,2.723098809841922874e-01,2.434054417697864570e-01,3.273080865594678590e-01,2.238403876604648512e-01
1.278965721291157841e-02,1.180851133113636903e-01,2.835227503874191424e-01,2.273312808361517279e-01,3.197176629684500559e-01,2.295285645679077668e-01
1.557363897693910156e-02,1.061530356682531366e-02,3.022249322450897280e-01,2.448565450620537598e-01,3.314215951781265268e-01,2.157485103139751004e-01
5.240163539020528671e-02,5.347265180319792782e-02,2.718243630016881629e-01,2.305391820173994799e-01,3.171092846763949868e-01,2.176130231787746783e-01
3.429605768136981953e-02,1.643886083762809494e-02,2.809105581536586738e-01,2.569158066321150513e-01,3.427747373359992800e-01,2.022458312643177769e-01
3.021806783958632531e-02,2.460188853468547876e-02,2.790955055898688975e-01,2.350707690886975065e-01,3.061830620507369760e-01,2.241185186144779851e-01
4.304468308460239478e-02,4.596585560483820027e-02,2.621602328454529784e-01,2.649124176254172847e-01,3.251015939350400119e-01,2.243987043879563936e-01
7.294589746866221580e-02,3.860996170981212915e-03,2.757738990980754257e-01,2.314779939089967598e-01,3.196712851281903189e-01,2.145331233091814782e-01
5.219158762138623869e-02,4.629565453246983070e-02,2.697518594816942228e-01,2.614070547861184757e-01,3.226170149644119189e-01,2.132472419130289343e-01
3.689451804062447715e-02,8.203655601055212521e-02,2.782435190196724806e-01,2.471086189588172222e-01,3.434546158720780951e-01,2.026856927508199624e-01
1.114144448181289548e-02,1.912748857045661142e-03,2.636545929371589825e-01,2.653591177676313251e-01,3.406704751425717603e-01,2.324948259168418407e-01
3.841849480050212040e-02,3.447510064503409716e-02,2.795104641949242574e-01,2.571949702147291461e-01,3.109718011525505199e-01,2.141473776211323121e-01
1.733003870793684009e-02,6.841393246048177446e-02,2.479374251928530837e-01,2.814188605844918367e-01,2.725065444917327828e-01,2.468942488980258032e-01
8.522820619561470579e-02,7.889259170394728737e-02,2.387481827860993833e-01,2.879332702277870859e-01,2.821069814146712207e-01,2.367229855654740256e-01
7.858659201391789140e-02,6.675941905394954662e-03,2.491609330414968904e-01,2.681698833470366194e-01,2.794172730114274361e-01,2.484564037016010751e-01
9.268658661035943103e-02,1.868860561131465564e-02,2.452913315800686056e-01,2.854382956522911741e-01,2.738456659985329389e-01,2.743577922407246517e-01
1.262201475650526032e-02,6.388852668267819279e-02,2.634365221516312139e-01,2.945212313653309821e-01,2.652109120955443156e-01,2.635957322184586116e-01
3.725183850860699225e-02,9.326758013344833842e-02,2.423052835393061100e-01,2.777893568060023632e-01,2.939222655869845324e-01,2.493575640503005453e-01
3.938351892811631227e-02,5.778302243067879457e-02,2.593988724491780307e-01,3.035068825506419543e-01,2.973135939838650876e-01,2.556606762365835062e-01
7.780212355908922017e-02,7.021940145605383432e-02,2.640791003255928970e-01,2.881895459752872313e-01,2.901240258596942678e-01,2.235825663989333412e-01
6.811534484527851166e-03,3.334746487145580363e-03,2.368320623817135318e-01,2.799990433718129723e-01,2.856979160305916920e-01,2.635706804146386584e-01
2.955032308857698242e-02,2.648726410668007791e-02,2.606213006265398202e-01,2.606498206052993427e-01,2.976990149580038825e-01,2.597259786195166287e-01
5.735644774782940047e-02,4.312239666152008211e-02,2.561810195395120004e-01,2.827114228677330421e-01,2.702489358258866048e-01,2.451336477225319610e-01
7.970387582504079305e-02,1.499164232725593558e-04,2.461687606389127148e-01,3.018102265063769551e-01,2.552792235584789848e-01,2.419481703353247304e-01
2.878258237497270319e-02,3.658014919088239947e-02,2.503695160841286071e-01,2.713984056942004286e-01,3.034239740871266244e-01,2.505689985440173739e-01
1.424949228089326080e-02,5.286268808776275335e-02,2.385968653301670239e-01,2.813516363143527821e-01,3.101897889002453446e-01,2.572461266662192103e-01
1.300098567137013966e-02,1.824013801999947552e-03,2.579331307239285387e-01,2.992463866494795566e-01,2.863846807299962882e-01,2.414583002854044647e-01
5.577213931694235266e-02,5.924009653568199085e-02,2.502526622957677582e-01,2.918449078999955648e-01,2.781755215553690097e-01,2.345386968834341224e-01
